"","seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances"
"1","1",4256796,4257635,840,"*","12_9D_Mut_R2_macs2_peak_1",88,".",6.97178,12.4558,8.82889,664,"Promoter (2-3kb)",74,4256234,4260519,4286,2,"ENSMUSG00000102948","ENSMUST00000195384",2884,NA,NA,NA,"ENSMUST00000208660;ENSMUST00000195384","ENSMUSG00000025900;ENSMUSG00000102948","0;0"
"2","1",4257776,4258589,814,"*","12_9D_Mut_R2_macs2_peak_2",49,".",5.37809,8.39511,4.93852,341,"Promoter (1-2kb)",74,4256234,4260519,4286,2,"ENSMUSG00000102948","ENSMUST00000195384",1930,NA,NA,NA,"ENSMUST00000208660;ENSMUST00000195384","ENSMUSG00000025900;ENSMUSG00000102948","0;0"
"3","1",4559871,4560330,460,"*","12_9D_Mut_R2_macs2_peak_3",49,".",5.37809,8.39511,4.93852,276,"Distal Intergenic",74,4534837,4535286,450,2,"ENSMUSG00000103003","ENSMUST00000193889",-24585,NA,NA,NA,NA,NA,NA
"4","1",4835301,4835478,178,"*","12_9D_Mut_R2_macs2_peak_4",15,".",3.72329,4.74698,1.55188,95,"Promoter (1-2kb)",74,4836905,4842827,5923,1,"ENSMUSG00000025903","ENSMUST00000141278",-1427,"18777","Lypla1","lysophospholipase 1","ENSMUST00000134384;ENSMUST00000027036;ENSMUST00000150971;ENSMUST00000119612;ENSMUST00000137887;ENSMUST00000115529;ENSMUST00000131119;ENSMUST00000141278;ENSMUST00000155020","ENSMUSG00000025903;ENSMUSG00000025903;ENSMUSG00000025903;ENSMUSG00000025903;ENSMUSG00000025903;ENSMUSG00000025903;ENSMUSG00000025903;ENSMUSG00000025903;ENSMUSG00000104217","0;0;0;0;0;0;0;-1427;0"
"5","1",5072171,5072397,227,"*","12_9D_Mut_R2_macs2_peak_5",40,".",4.96439,7.42892,4.0268,84,"Promoter (1-2kb)",74,4909576,5070285,160710,2,"ENSMUSG00000002459","ENSMUST00000118000",-1886,"58175","Rgs20","regulator of G-protein signaling 20","ENSMUST00000118000;ENSMUST00000147158;ENSMUST00000133521;ENSMUST00000192847","ENSMUSG00000002459;ENSMUSG00000002459;ENSMUSG00000002459;ENSMUSG00000033793","-1886;-1889;-1898;0"
"6","1",5072519,5072694,176,"*","12_9D_Mut_R2_macs2_peak_6",23,".",4.13699,5.60175,2.32456,66,"Promoter (2-3kb)",74,4909576,5070285,160710,2,"ENSMUSG00000002459","ENSMUST00000118000",-2234,"58175","Rgs20","regulator of G-protein signaling 20","ENSMUST00000118000;ENSMUST00000147158;ENSMUST00000133521;ENSMUST00000192847","ENSMUSG00000002459;ENSMUSG00000002459;ENSMUSG00000002459;ENSMUSG00000033793","-2234;-2237;-2246;0"
"7","1",5110744,5114427,3684,"*","12_9D_Mut_R2_macs2_peak_7",206,".",10.9006,24.6664,20.6377,1877,"Intron (ENSMUST00000192847/ENSMUSG00000033793, intron 7 of 12)",74,5083164,5099777,16614,1,"ENSMUSG00000033793","ENSMUST00000192142",27580,"108664","Atp6v1h","ATPase, H+ transporting, lysosomal V1 subunit H","ENSMUST00000192847;ENSMUST00000044369;ENSMUST00000194301;ENSMUST00000192698","ENSMUSG00000033793;ENSMUSG00000033793;ENSMUSG00000033793;ENSMUSG00000033793","0;0;0;0"
"8","1",6664266,6664414,149,"*","12_9D_Mut_R2_macs2_peak_8",23,".",4.13699,5.60175,2.32456,108,"Intron (ENSMUST00000140079/ENSMUSG00000033740, intron 2 of 23)",74,6730051,6860940,130890,1,"ENSMUSG00000033740","ENSMUST00000043578",-65637,"240690","St18","suppression of tumorigenicity 18","ENSMUST00000140079;ENSMUST00000131494","ENSMUSG00000033740;ENSMUSG00000033740","0;0"
"9","1",10100724,10101377,654,"*","12_9D_Mut_R2_macs2_peak_9",31,".",4.55069,6.49685,3.15151,73,"Promoter (2-3kb)",74,10104228,10108543,4316,1,"ENSMUSG00000056763","ENSMUST00000190625",-2851,"211660","Cspp1","centrosome and spindle pole associated protein 1","ENSMUST00000071087;ENSMUST00000186294;ENSMUST00000185422;ENSMUST00000190625","ENSMUSG00000056763;ENSMUSG00000056763;ENSMUSG00000056763;ENSMUSG00000056763","0;0;0;-2851"
"10","1",10478500,10479854,1355,"*","12_9D_Mut_R2_macs2_peak_10",68,".",6.20549,10.4204,6.86577,623,"Promoter (<=1kb)",74,10472475,10477823,5349,2,"ENSMUSG00000042501","ENSMUST00000147575",-677,"329093","Cpa6","carboxypeptidase A6","ENSMUST00000153695;ENSMUST00000035577;ENSMUST00000147575","ENSMUSG00000042501;ENSMUSG00000042501;ENSMUSG00000042501","0;0;-677"
